lat,lon,id
47.4290009,18.5986004,Alcsútdoboz
47.5884399,14.1402111,Ausztria
45.8032990,19.6240997,Backa Topola
46.0358696,18.2104206,Baranya
52.5014076,13.4023285,Berlin
48.3167000,20.7500000,Borsod
48.1985397,20.9715767,Borsod-Abaúj-Zemplén
47.5130310,19.1229801,Budapest
46.5682373,19.3795605,Bács-Kiskun
46.1240997,19.3437004,Bácsalmás
46.8661995,23.0256996,Bánffyhunyad
46.7334595,21.0089035,Békés
46.7166214,21.0623207,Békéscsaba
47.1759987,19.8167992,Cegléd
46.7770996,16.8624992,Csatár
46.7112999,20.1455994,Csongrád
47.5989990,21.5759506,Debrecen
47.9827003,20.3397999,Eger
47.1290894,18.5371170,Fejér
47.6116982,19.1896000,Fót
46.9328995,20.7845001,Gyomaendrőd
46.6423798,21.3372402,Gyula
47.7939987,19.9363995,Gyöngyös
47.8167992,19.7880001,Gyöngyöspata
47.6425209,17.2791786,Győr-Moson-Sopron
47.7051010,19.1331005,Göd
47.6012001,19.3521996,Gödöllő
47.4700584,21.4577427,Hajdú-Bihar
47.8198013,21.5032997,Hajdúdorog
47.4357986,21.3887997,Hajdúszoboszló
47.5940018,20.2831001,Heves
46.4100990,20.3612995,Hódmezővásárhely
47.2623024,20.4201870,Jász-Nagykun-Szolnok
47.4924011,19.8959007,Jászberény
46.3048706,17.7828903,Kaposvár
47.3244019,20.9249992,Karcag
48.2537994,20.6485004,Kazincbarcika
46.9270401,19.5845108,Kecskemét
46.7733002,17.2653008,Keszthely
47.8301010,17.3787994,Kimle
46.4306984,19.4789009,Kiskunhalas
47.4944000,20.5144005,Kisköre
47.6083794,18.3133736,Komárom-Esztergom
47.7384987,17.5230007,Kunsziget
50.9416695,6.95516010,Köln
45.8917885,18.9249992,Külföld
51.5064201,-0.1272100,London
48.1021004,20.7078991,Miskolc
47.8764992,17.2742004,Mosonmagyaróvár
46.5172690,16.9664800,Nagykanizsa
46.9551010,18.8511009,Nagyvenyim
47.0335007,21.9902000,Nagyvárad
48.0251694,21.6957493,Nyíregyháza
47.9861340,19.5231210,Nógrád
46.5768013,20.6905003,Orosháza
46.6288986,18.8610992,Paks
47.5018692,19.0729084,Pest
47.2000008,17.5000000,Pápa
46.0712013,18.2285004,Pécs
47.9329987,20.1067009,Recsk
48.1859016,20.7693005,Sajóecseg
48.0806007,19.7929001,Salgótarján
46.8110008,21.3834991,Sarkadkeresztúr
46.4459270,17.608730 ,Somogy
47.6729012,16.6037006,Sopron
47.9925728,22.0808964,Szabolcs-Szatmár-Bereg
46.2609596,20.2052803,Szeged
46.8835983,18.6156006,Sárbogárd
46.7555008,16.8400002,Sárhida
46.8827019,17.4344997,Tapolca
47.6423000,18.3183000,Tata
47.5607986,18.4185009,Tatabánya
47.0849990,19.3745000,Tatárszentgyörgy
46.9796982,20.2472000,Tiszaföldvár
47.6166992,20.7667007,Tiszafüred
46.9329987,20.0912991,Tiszakécske
48.1091000,21.4111000,Tokaj
46.5077705,18.5378647,Tolna
47.1500626,16.7497501,Vas
47.1208496,17.9503708,Veszprém
47.7663994,19.1478996,Vác
46.6871414,16.8945789,Zala
46.8462982,16.8511009,Zalaegerszeg
